"Time","L1"
2024-01-01 18:10:00,12.585 K
2024-01-01 18:15:00,12.584 K
2024-01-01 18:20:00,12.581 K
2024-01-01 18:25:00,12.588 K
2024-01-01 18:30:00,12.596 K
2024-01-01 18:35:00,12.590 K
2024-01-01 18:40:00,12.591 K
2024-01-01 18:45:00,12.590 K
2024-01-01 18:50:00,12.588 K
2024-01-01 18:55:00,12.603 K
2024-01-01 19:00:00,12.595 K
2024-01-01 19:05:00,12.585 K
2024-01-01 19:10:00,12.584 K
2024-01-01 19:15:00,12.594 K
2024-01-01 19:20:00,12.590 K
2024-01-01 19:25:00,12.587 K
2024-01-01 19:30:00,12.585 K
2024-01-01 19:35:00,12.582 K
2024-01-01 19:40:00,12.584 K
2024-01-01 19:45:00,12.587 K
2024-01-01 19:50:00,12.588 K
2024-01-01 19:55:00,12.582 K
2024-01-01 20:00:00,12.591 K
2024-01-01 20:05:00,12.589 K
2024-01-01 20:10:00,12.589 K
2024-01-01 20:15:00,12.589 K
2024-01-01 20:20:00,12.589 K
2024-01-01 20:25:00,12.586 K
2024-01-01 20:30:00,12.590 K
2024-01-01 20:35:00,12.594 K
2024-01-01 20:40:00,12.588 K
2024-01-01 20:45:00,12.585 K
2024-01-01 20:50:00,12.581 K
2024-01-01 20:55:00,12.578 K
2024-01-01 21:00:00,12.573 K
2024-01-01 21:05:00,12.582 K
2024-01-01 21:10:00,12.588 K
2024-01-01 21:15:00,12.578 K
2024-01-01 21:20:00,12.577 K
2024-01-01 21:25:00,12.576 K
2024-01-01 21:30:00,12.569 K
2024-01-01 21:35:00,12.570 K
2024-01-01 21:40:00,12.568 K
2024-01-01 21:45:00,12.571 K
2024-01-01 21:50:00,12.565 K
2024-01-01 21:55:00,12.561 K
2024-01-01 22:00:00,12.563 K
2024-01-01 22:05:00,12.554 K
2024-01-01 22:10:00,12.555 K
2024-01-01 22:15:00,12.558 K
2024-01-01 22:20:00,12.557 K
2024-01-01 22:25:00,12.555 K
2024-01-01 22:30:00,12.557 K
2024-01-01 22:35:00,12.554 K
2024-01-01 22:40:00,12.551 K
2024-01-01 22:45:00,12.557 K
2024-01-01 22:50:00,12.548 K
2024-01-01 22:55:00,12.549 K
2024-01-01 23:00:00,12.552 K
2024-01-01 23:05:00,12.546 K
2024-01-01 23:10:00,12.534 K
2024-01-01 23:15:00,12.541 K
2024-01-01 23:20:00,12.539 K
2024-01-01 23:25:00,12.536 K
2024-01-01 23:30:00,12.529 K
2024-01-01 23:35:00,12.527 K
2024-01-01 23:40:00,12.522 K
2024-01-01 23:45:00,12.523 K
2024-01-01 23:50:00,12.532 K
2024-01-01 23:55:00,12.525 K
2024-01-02 00:00:00,12.517 K
2024-01-02 00:05:00,12.517 K
2024-01-02 00:10:00,12.519 K
2024-01-02 00:15:00,12.525 K
2024-01-02 00:20:00,12.519 K
2024-01-02 00:25:00,12.517 K
2024-01-02 00:30:00,12.511 K
2024-01-02 00:35:00,12.507 K
2024-01-02 00:40:00,12.516 K
2024-01-02 00:45:00,12.520 K
2024-01-02 00:50:00,12.525 K
2024-01-02 00:55:00,12.517 K
2024-01-02 01:00:00,12.516 K
2024-01-02 01:05:00,12.505 K
2024-01-02 01:10:00,12.510 K
2024-01-02 01:15:00,12.515 K
2024-01-02 01:20:00,12.522 K
2024-01-02 01:25:00,12.515 K
2024-01-02 01:30:00,12.520 K
2024-01-02 01:35:00,12.516 K
2024-01-02 01:40:00,12.514 K
2024-01-02 01:45:00,12.524 K
2024-01-02 01:50:00,12.528 K
2024-01-02 01:55:00,12.534 K
2024-01-02 02:00:00,12.533 K
2024-01-02 02:05:00,12.540 K
2024-01-02 02:10:00,12.533 K
2024-01-02 02:15:00,12.535 K
